2.156576e+09,633.8,644.6
2.156613e+09,633.1,649.19
2.156645e+09,637.02,653.9
2.156676e+09,640.76,657.92
2.15671e+09,641.72,658.57
2.156744e+09,643.21,658.46
2.156776e+09,641.49,656.06
2.156808e+09,642.39,654.57
2.156842e+09,637.63,652.44
2.156876e+09,633,649.56
2.156908e+09,630.1,652.92
2.156941e+09,628.37,652.9
2.156975e+09,630.7,651.86
2.157008e+09,629.59,648.8
2.157041e+09,632.98,651.37
2.157075e+09,630,651.22
2.157108e+09,630.27,653.44
2.157141e+09,633.45,648.73
2.157174e+09,634.68,648.14
2.157208e+09,599.4,645.73
2.157241e+09,472.65,627.08
2.157275e+09,497.21,630.67
2.157308e+09,502.03,627.16
2.157341e+09,24406.64,25340.62
2.157374e+09,0,0
2.157441e+09,688.41,866.47
2.157474e+09,622.05,540.17
2.157507e+09,0,0
2.157541e+09,0,0
2.157574e+09,0,0
2.157607e+09,-156.59,1141.79
2.157641e+09,720.64,701.36
2.157674e+09,687.1,534.84
2.157707e+09,674.44,531.27
2.157741e+09,671.55,537.43
2.157773e+09,666.57,542.01
2.157807e+09,663.19,542.39
2.15784e+09,649.52,544.94
2.157873e+09,601.23,518.79
2.157906e+09,590.99,521.93
2.15794e+09,585.01,528.86
2.157973e+09,581.32,534.28
2.158006e+09,576.55,539.49
2.158039e+09,574.6,548.2
2.158073e+09,573.72,549.61
2.158106e+09,575.32,553.19
2.15814e+09,574.58,555.66
2.158172e+09,577.55,561.21
2.158206e+09,578.4,566.88
2.158241e+09,580.25,573.76
2.158279e+09,582.03,582.72
2.158307e+09,583.04,590.59
2.158339e+09,583.5,595.15
2.158372e+09,582.79,596.93
2.158406e+09,584.9,597.65
2.158439e+09,585.91,593.29
2.158473e+09,588.97,591.98
2.158506e+09,588.66,592.89
2.158539e+09,588.47,594.3
2.158572e+09,591.21,607.74
2.158606e+09,713.28,267.64
2.158639e+09,543.77,510.79
2.158672e+09,659.73,548.19
2.158705e+09,618.16,604.73
2.158738e+09,626.87,629.19
2.158772e+09,0,0
2.158805e+09,0,0
2.158838e+09,219.9,1069.33
2.158871e+09,675.44,633.65
2.158905e+09,639.12,645.72
2.158938e+09,637.6,628.57
2.158971e+09,628.05,655.36
2.159004e+09,0,0
2.159038e+09,8067.68,6811.54
2.159071e+09,655.58,550.44
2.159105e+09,636.21,623.71
2.159138e+09,627.43,618.03
2.159171e+09,620.43,621.59
2.159204e+09,614.76,628.19
2.159238e+09,612.75,583.68
2.159271e+09,612.69,568.84
2.159304e+09,607.8,575.73
2.159337e+09,602.43,577.66
2.159371e+09,595.06,585.83
2.159404e+09,592.79,584.51
2.159437e+09,593.8,595.84
2.15947e+09,606.19,605.34
2.159504e+09,606.95,601.79
2.159537e+09,613.16,599.19
2.159571e+09,617.4,595.14
2.159603e+09,618.98,594.7
2.159637e+09,654.43,602.01
2.15967e+09,650.81,601.3
2.159703e+09,651.26,600.85
2.159736e+09,650.12,602.35
2.15977e+09,646.59,600.99
2.159803e+09,643.95,599.69
2.159836e+09,642.34,601.97
2.15987e+09,637.42,600.43
2.159904e+09,634.75,600.51
2.159938e+09,634.43,599.49
2.159969e+09,634,598.91
2.160003e+09,666.9,660.73
